keyword,kind,origin,pattern,case_sensitive,tweets,authors,likes,views,english_share,ai_context_share,estimated_precision,peak_day,peak_share_per_100k,peak_lift,verdict,reason,top_posts
Optimus,product,seeded,\boptimus\b,False,13448,10716,5219901,187966753,0.8685,0.0233,0.19,2026-08-27,71.5752,16.0,use_with_context,"13,448 originals, 7/40 sampled are Tesla's robot; its 2026-08-27 spike (lift 16) is Peter Cullen's death, not an AI event.","[{""id"": ""2092981549775946108"", ""day"": ""2026-08-27"", ""likes"": 298144, ""excerpt"": ""Peter Cullen has sadly passed away at the age of 85.\n\nHe is the iconic voice of many characters, including Optimus Prime. https://t.co/HS9MRZ4mq6""}, {""id"": ""2092985236791423403"", ""day"": ""2026-08-27"", ""likes"": 267404, ""excerpt"": ""“I am Optimus Prime, and I send this message to any surviving Autobots taking refuge among the stars. We are here. We are waiting.”\n\n- Peter Cullen (1941 - 2026""}, {""id"": ""2092978124363386944"", ""day"": ""2026-08-27"", ""likes"": 261006, ""excerpt"": ""‘Transformers’ Optimus Prime actor Peter Cullen has died at the age of 85. https://t.co/Uu7I3ZlgJN""}]"
Qwen,company,seeded,\bqwen,False,12649,5502,837453,166907010,0.5782,0.2642,1.0,2026-09-02,14.6678,2.3,use,"12,649 originals, 40/40; prefix pattern catches qwen3.8, qwen2.5 etc.","[{""id"": ""2098115046069223631"", ""day"": ""2026-09-10"", ""likes"": 21828, ""excerpt"": ""Anthropic’s new threat report is absolutely insane.\n\nThey claim:\n\n-Alibaba extracted 151M+ Claude exchanges to help train Qwen\n-Kimi secretly routed some users ""}, {""id"": ""2089385980080148726"", ""day"": ""2026-08-17"", ""likes"": 8502, ""excerpt"": ""We just shipped our official Qwen 3.8 27B Uncensored MLX build. Local. Uncensored. For🍎\n\n2-bit, 4-bit, 6-bit &amp; 8-bit — pick your poison based on RAM and spe""}, {""id"": ""2092591393424515114"", ""day"": ""2026-08-26"", ""likes"": 7843, ""excerpt"": ""⚡Meet Qwen3.8-Flash, a multimodal MoE and an early preview of the Qwen4 architecture, now open-weight!\n\nThe production version Qwen3.8-Flash will be available s""}]"
Opus,product,seeded,\bopus\b,False,12119,8221,952034,198256205,0.6557,0.2155,0.78,2026-09-02,26.9275,3.13,use_with_context,"12,119 originals, 29/40 sampled are the Claude model.","[{""id"": ""2093719490642989199"", ""day"": ""2026-08-29"", ""likes"": 41273, ""excerpt"": ""I know Ed Edd and Eddy is his magnum opus but I'll always love this one https://t.co/WVlvTK13NC""}, {""id"": ""2090212128330219783"", ""day"": ""2026-08-19"", ""likes"": 19699, ""excerpt"": ""i present to you claude opus 5 https://t.co/R7TBZ3WQsj""}, {""id"": ""2089566434183499844"", ""day"": ""2026-08-18"", ""likes"": 18611, ""excerpt"": ""the time to repost my swagnum opus has come https://t.co/c8UPj56yJI""}]"
DeepSeek,company,seeded,\bdeepseek\b,False,11460,6133,790211,155470953,0.5216,0.2846,1.0,2026-09-10,40.3087,5.14,use,"11,460 originals, 40/40 sampled.","[{""id"": ""2097930608790167907"", ""day"": ""2026-09-10"", ""likes"": 28274, ""excerpt"": ""🚀 Introducing DeepSeek-V4.1-Flash: smarter, faster, more efficient.\n\n🔹 Introducing the smallest model in our new architecture family, with native visual underst""}, {""id"": ""2098115046069223631"", ""day"": ""2026-09-10"", ""likes"": 21828, ""excerpt"": ""Anthropic’s new threat report is absolutely insane.\n\nThey claim:\n\n-Alibaba extracted 151M+ Claude exchanges to help train Qwen\n-Kimi secretly routed some users ""}, {""id"": ""2090730032574631962"", ""day"": ""2026-08-21"", ""likes"": 11431, ""excerpt"": ""DeepSeek-V4-Flash-Vision-Exp is now live on the DeepSeek API Platform! 🚀\n\n🔹 This experimental multimodal model matches DeepSeek-V4-Flash on text capabilities—in""}]"
vibe coding,concept,seeded,\bvibe[- ]?cod,False,10886,7729,963516,94093183,0.8184,0.2072,0.98,2026-09-03,18.7296,2.39,use,"10,886 originals, 39/40 sampled; pattern also catches 'vibecoded'/'vibecoder'.","[{""id"": ""2091222478706409694"", ""day"": ""2026-08-22"", ""likes"": 78529, ""excerpt"": ""There are levels of vibe coding. https://t.co/i6lVOod9MZ""}, {""id"": ""2095886407801713142"", ""day"": ""2026-09-04"", ""likes"": 42559, ""excerpt"": ""JUST IN: Vibe coder catches Claude viewing adult content in Chrome during a debugging session, leading the internet to declare \""artificial gooner intelligence\"" ""}, {""id"": ""2089292407678681592"", ""day"": ""2026-08-17"", ""likes"": 33115, ""excerpt"": ""Vibe coders at 3am https://t.co/F4lzHxn1ud""}]"
ذكاء اصطناعي,concept,seeded,ذكاء ال?ا?صطناعي,False,10820,5060,458860,112321033,0.0006,0.0909,1.0,2026-09-03,46.6248,5.51,use,"10,820 originals, 40/40 Arabic.","[{""id"": ""2098688066953322703"", ""day"": ""2026-09-12"", ""likes"": 21408, ""excerpt"": ""India-UAE ties have been transformed over the last few years. Now, we are raising our ambitions even higher.\n\nDelighted to meet His Highness Sheikh Khaled bin M""}, {""id"": ""2093777786469028037"", ""day"": ""2026-08-29"", ""likes"": 9383, ""excerpt"": ""أعجبني…\n\nهذا نظام ذكاء اصطناعي يبحث عن جميع الفرص الوظيفية المناسبة لخبرتك في السعودية ويقدم على مئات الشركات تلقائيًا مع تحسين سيرتك الذاتية بحيث تتناسب مع متط""}, {""id"": ""2095821332365644007"", ""day"": ""2026-09-04"", ""likes"": 9305, ""excerpt"": ""أداة سعودية اسمها ( سُمعة 🛡️) \n\nتسوي مسح بالذكاء الاصطناعي عن الشخص عن طريق البحث بإيميله \n\nويجيب لك : \n\n* الاسم\n* صورته\n* حسابات التواصل الاجتماعي \n* المواقع ا""}]"
AI slop,concept,seeded,\bAI[- ]slop\b,False,10202,9276,2814946,143528948,0.8646,0.7,0.97,2026-09-08,14.5542,2.07,use,"10,202 originals at 70% ai_context_share; unambiguous phrase.","[{""id"": ""2096751875592749392"", ""day"": ""2026-09-07"", ""likes"": 158786, ""excerpt"": ""wait till u find out it was always designed to, it was an intentional choice for the betterment of children.. \npeople used to care about kids and their developm""}, {""id"": ""2090191742536393170"", ""day"": ""2026-08-19"", ""likes"": 114051, ""excerpt"": ""In the world of AI slop, this movie unironically deserved every cent it made""}, {""id"": ""2093396458397708594"", ""day"": ""2026-08-28"", ""likes"": 111433, ""excerpt"": ""this is so much better than those ai slop posts from other companies😭""}]"
harness,concept,discovered,\bharness\b,False,9753,6567,765086,172052342,0.7896,0.3369,0.85,2026-09-02,17.5138,2.4,use_with_context,"DISCOVERED. 9,753 originals, 31/40 sampled use the new 'coding harness'/'agent harness' sense.","[{""id"": ""2093190483384111261"", ""day"": ""2026-08-28"", ""likes"": 22596, ""excerpt"": ""🚨WOW, they weren't kidding... A 300-pound lioness and her cub really are on the loose in Indiana\n\nThe lioness was wearing a BLUE HARNESS.\n\nNobody reported a mis""}, {""id"": ""2093833879522054145"", ""day"": ""2026-08-29"", ""likes"": 21169, ""excerpt"": ""When guys with fat tits™️ are tied up so that their fat tits™️ are straining against and pushed up by the bindings like a harness""}, {""id"": ""2098099269551149398"", ""day"": ""2026-09-10"", ""likes"": 18127, ""excerpt"": ""GPT-Live-1 is now available in the API.\n\nBring ChatGPT’s natural back-and-forth to your app, with voice agents that listen while they speak and work with the mo""}]"
MCP,concept,seeded,\bMCP\b,True,9638,6268,406063,77355666,0.6583,0.3871,0.97,2026-09-03,21.7184,3.1,use,"9,638 originals, 38/40 sampled are Model Context Protocol - a genuinely new 2026 AI term.","[{""id"": ""2095166860740174273"", ""day"": ""2026-09-02"", ""likes"": 9738, ""excerpt"": ""I’m excited to finally announce the newest edition my Stanford course 𝗧𝗵𝗲 𝗠𝗼𝗱𝗲𝗿𝗻 𝗦𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗗𝗲𝘃𝗲𝗹𝗼𝗽𝗲𝗿. It has been 9 months in the making.\n\nLast November, with th""}, {""id"": ""2090817187900780961"", ""day"": ""2026-08-21"", ""likes"": 9084, ""excerpt"": ""I open-sourced ThreeUI, my library of three.js components and landing pages.\n\n160+ are free, and the tool is free too. It includes procedural 3D hero sections, ""}, {""id"": ""2097877069334036941"", ""day"": ""2026-09-10"", ""likes"": 6552, ""excerpt"": ""GPT-6 Astra in DaVinci via MCP. https://t.co/tdNCM8Nc9w""}]"
yapay zeka,concept,seeded,yapay zek,False,9374,5739,1111906,169680988,0.0002,0.0806,1.0,2026-09-11,17.3224,2.64,use,"9,374 originals, 40/40 Turkish.","[{""id"": ""2091955902299480466"", ""day"": ""2026-08-24"", ""likes"": 40131, ""excerpt"": ""sonunda yapay zeka olmayan bir linkedin paylaşımı... sik sik ik paylaşımlarının arasında ilaç gibi geldi""}, {""id"": ""2097051715249770850"", ""day"": ""2026-09-07"", ""likes"": 28096, ""excerpt"": ""Yalvarırım yapay zeka ile seksenler fotoğraflarınızı yayınlama ZULMUNE BİR SON VERİN NAPIYORSUNUZ AMK YA""}, {""id"": ""2089255648483528800"", ""day"": ""2026-08-17"", ""likes"": 24988, ""excerpt"": ""Beşiktaş Meydanı, yapay zeka ile reklam tabelalarından arındırıldı. https://t.co/IxRbkFv1yA""}]"
Seedance,product,discovered,\bseedance\b,False,9313,3218,815601,231815731,0.7433,0.2736,1.0,2026-09-10,10.4504,1.75,use,"DISCOVERED. 9,313 originals, 40/40 sampled; ByteDance's video model.","[{""id"": ""2093364330985136572"", ""day"": ""2026-08-28"", ""likes"": 18542, ""excerpt"": ""my browser before Magnific Desktop 😭\n\nSeedance 2.5 prompt + best features below 👇 https://t.co/W73AEx0gSv""}, {""id"": ""2098766209839923543"", ""day"": ""2026-09-12"", ""likes"": 10109, ""excerpt"": ""Mission: Attend Class Undetected\n\nMade with Seedance 2.5 on @Flovaai\n#FlovaAI #FlovaCPP\n\nPrompt below ↓ https://t.co/VcvM6swZVr""}, {""id"": ""2096782116524888070"", ""day"": ""2026-09-07"", ""likes"": 9949, ""excerpt"": ""ChatGPT-6 Astraの画像生成とSeedance 2.5の動画生成を組み合わせると、もう驚異的なレベル。\n\n毎日AI動画を作っている僕ですら、これから先、本物と見分けられる自信がない。 https://t.co/ad7LBO8XH3""}]"
AI model,concept,seeded,\bAI models?\b,False,8881,6310,943110,189172692,0.9819,0.9538,0.99,2026-09-03,34.072,4.75,use,"8,881 originals, 95.4% ai_context_share.","[{""id"": ""2099925682726002904"", ""day"": ""2026-09-15"", ""likes"": 63517, ""excerpt"": ""After co-inventing ChatGPT, I kept asking myself: why have superhuman chat models not led to AGI?\n\nI’ve spent the last 2 years in stealth building a new way to ""}, {""id"": ""2097514328429846569"", ""day"": ""2026-09-09"", ""likes"": 35279, ""excerpt"": ""Crazy to think that in 2026 we've had:\n\n• Anthropic's head of safeguards quit, warning \""the world is in peril\"" (Feb)\n• OpenAI dissolved its own mission alignmen""}, {""id"": ""2098873923953688898"", ""day"": ""2026-09-12"", ""likes"": 34848, ""excerpt"": ""If Sam Altman, Dario Amodei, and Elon Musk all agree that we have to slow down - and now - something serious clearly happened with a frontier AI model. \n\nJourna""}]"
inteligencia artificial,concept,seeded,intelig[eê]ncia artificial,False,8409,5700,1671268,74419588,0.001,0.052,1.0,2026-09-10,17.3178,3.0,use,"8,409 originals, 40/40; covers Spanish and Portuguese spellings.","[{""id"": ""2093957762791178530"", ""day"": ""2026-08-30"", ""likes"": 163331, ""excerpt"": ""\""Nickelodeon\"" \""Israel\"" \""LALIGA\"" \""inteligencia artificial\""\nSanta madre de Cristo""}, {""id"": ""2093406407559127295"", ""day"": ""2026-08-28"", ""likes"": 145751, ""excerpt"": ""o que acontece quando a inteligência artificial é usada da maneira correta""}, {""id"": ""2096705363173400983"", ""day"": ""2026-09-06"", ""likes"": 53497, ""excerpt"": ""🤯 INCREÍBLE: La Inteligencia Artificial ahora puede jugar a videojuegos por tí ‼️\n\nEsto elimina la necesidad de divertirse en los ratos libres para que podamos ""}]"
GLM,product,discovered,\bGLM\b,True,8088,3967,646001,109142518,0.6725,0.2739,0.95,2026-08-26,15.3967,3.68,use,"DISCOVERED. 8,088 originals, 37/40 sampled are Z.ai's model family.","[{""id"": ""2092616204787626030"", ""day"": ""2026-08-26"", ""likes"": 23867, ""excerpt"": ""Introducing GLM-5.3-Flash\n\n- Leading capabilities at a highly competitive price\n- Natively multimodal with a 1M-token context window\n- A 320B-A18B model release""}, {""id"": ""2093354097122455713"", ""day"": ""2026-08-28"", ""likes"": 8522, ""excerpt"": ""GLM-5.3 is now open-weight.\n\nOur most capable model for agentic coding and cyber defense is now available to download, run, and customize.\n\nWeights: https://t.c""}, {""id"": ""2094458081451393287"", ""day"": ""2026-08-31"", ""likes"": 6949, ""excerpt"": ""Today we're releasing abliterated-model-large-v2.\n\nBased on GLM-5.3, which is #3 on Terminal-Bench 4.0 (behind only Opus 5 and Fable), with 2× the cyber exploit""}]"
artificial intelligence,concept,seeded,\bartificial intelligence\b,False,8028,5551,941224,109434598,0.9562,0.4208,0.99,2026-09-02,21.4544,3.7,use,"8,028 originals, 39/40; 96% English.","[{""id"": ""2090763999075868746"", ""day"": ""2026-08-21"", ""likes"": 104071, ""excerpt"": ""The world does not need an artificial intelligence that diminishes humanity; rather, it needs human intelligence enlightened by wisdom, political authority guid""}, {""id"": ""2097472336257863722"", ""day"": ""2026-09-08"", ""likes"": 68559, ""excerpt"": ""go fuck yourself @sama \n\nclaiming that you solved navier stokes because 10000 agents ran in circles for 88hours on a multimillion dollar gpu cluster to formaliz""}, {""id"": ""2097759699626328575"", ""day"": ""2026-09-09"", ""likes"": 32190, ""excerpt"": ""This post looks like the start of a VERY sophisticated and well-funded PR operation to get support for Democrats to regulate AI into oblivion. Let me show you h""}]"
Runway,company,seeded,\brunway\b,False,7971,5874,1822795,185403030,0.8413,0.0463,0.07,2026-09-06,38.2365,5.93,drop,"7,971 originals but 1/40 sampled are the AI company.","[{""id"": ""2090190151083532583"", ""day"": ""2026-08-19"", ""likes"": 64368, ""excerpt"": ""At midnight on February 6th, earlier this year, the doorbell to our apartment rang. The doorbell was followed by a pounding on the door.  I answered the door an""}, {""id"": ""2096314846392549814"", ""day"": ""2026-09-05"", ""likes"": 50321, ""excerpt"": ""🚨 BREAKING:\n\nFrench general on Trump's plan to build a runway inside Iran to airlift uranium amid active bombardment:\n\n\""U.S. officials should stop doing cocaine""}, {""id"": ""2090848098453234115"", ""day"": ""2026-08-21"", ""likes"": 33328, ""excerpt"": ""watching the new project runway episode and i've genuinely never seen law roach this excited over an outfit before… him fangirling over this dress made out of k""}]"
AGI,concept,seeded,\bAGI\b,True,7780,5652,1089128,186953934,0.718,0.3612,0.9,2026-09-03,50.4106,7.17,use,"7,780 originals, 34/40 sampled; peak lift 7.2 on 2026-09-03.","[{""id"": ""2099925682726002904"", ""day"": ""2026-09-15"", ""likes"": 63517, ""excerpt"": ""After co-inventing ChatGPT, I kept asking myself: why have superhuman chat models not led to AGI?\n\nI’ve spent the last 2 years in stealth building a new way to ""}, {""id"": ""2095600005772104059"", ""day"": ""2026-09-03"", ""likes"": 55640, ""excerpt"": ""GPT-6 Astra is here.\n\nWe hope it will begin to enable a new generation of entrepreneurship, scientific discovery, and building.\n\nWe believe it is the best model""}, {""id"": ""2096700264569090384"", ""day"": ""2026-09-06"", ""likes"": 41824, ""excerpt"": ""@ChaseLochmiller @OpenAI GPT-6 Astra, trained on ~100K+ NVIDIA Grace Blackwell NVLink72. From ChatGPT to o1 to Astra in 4 years.\n\nAGI has arrived. Congratulatio""}]"
Hugging Face,company,seeded,\bhugging ?face\b,False,7766,5352,910800,166648629,0.7055,0.5166,1.0,2026-09-03,54.7941,9.75,use,"7,766 originals, 40/40; peak lift 9.8 (the Nvidia acquisition and the agent-swarm incident).","[{""id"": ""2098973625252708460"", ""day"": ""2026-09-13"", ""likes"": 72093, ""excerpt"": ""Dario has written that we need to “pace the frontier,” and Sam has agreed. People may be surprised by my response: go ahead.\n\nYou guys are the frontier. By any ""}, {""id"": ""2097476216139968662"", ""day"": ""2026-09-09"", ""likes"": 49908, ""excerpt"": ""I am optimistic about the potential for coordination. Warning shots like the Hugging Face attack have made pacing agreements between U.S. labs more viable. I do""}, {""id"": ""2095482647355244762"", ""day"": ""2026-09-03"", ""likes"": 27192, ""excerpt"": ""Exciting day for NVIDIA and @huggingface.\n\nOpen models strengthen safety and cybersecurity, accelerate innovation and diffusion, and enable sovereignty. They al""}]"
R1,product,seeded,\bR1\b,True,7603,4532,446361,78909593,0.4909,0.0235,0.02,2026-09-06,10.4505,1.92,drop,"7,603 originals, 0/40 sampled are DeepSeek R1.","[{""id"": ""2094764125331099768"", ""day"": ""2026-09-01"", ""likes"": 12644, ""excerpt"": ""GTA 6 has a new control scheme that brings important changes over GTA 5 and RDR2:\n\n- Drift is mapped to A/X, rather than RB/R1. This is because you can now free""}, {""id"": ""2090758489480036460"", ""day"": ""2026-08-21"", ""likes"": 10503, ""excerpt"": ""WADE HAMMERS PUSEY!\n\nWhat a performance from James Wade!\n\nWade takes out 164 to deliver a 6-0 thumping of Tim Pusey, averaging 112.73 - the second-highest avera""}, {""id"": ""2089380660137898218"", ""day"": ""2026-08-17"", ""likes"": 7395, ""excerpt"": ""There are two corruption cases revealed in the news today❗️\n\n*One tender corruption case worth R1.8billion in Cape Town Metro \n\n*One investment corruption case ""}]"
Alexa,product,seeded,\balexa\b,False,7572,5545,884335,61526500,0.525,0.026,0.27,2026-09-12,15.0006,3.07,use_with_context,"7,572 originals, 10/40 sampled are about the assistant.","[{""id"": ""2098242049363652637"", ""day"": ""2026-09-11"", ""likes"": 47034, ""excerpt"": ""ROSALÍA AND ALEXA DEMIE https://t.co/aheGQmiGbD""}, {""id"": ""2091906413563887676"", ""day"": ""2026-08-24"", ""likes"": 37737, ""excerpt"": ""alexa desligar depressão preciso estudarkk""}, {""id"": ""2089483512957043029"", ""day"": ""2026-08-17"", ""likes"": 32969, ""excerpt"": ""Alexa PenaVega (Spy Kids) ya perdió a tres de sus amigas de la infancia: Hayden Panettiere, Michelle Trachtenberg y Daveigh Chase.\n\n💬 «Abracen hoy a sus seres q""}]"
Sora,product,seeded,\bsora\b,False,7410,4677,1529032,69592405,0.5424,0.0324,0.06,2026-09-13,14.5038,2.99,drop,"7,410 originals, 1/40 sampled are OpenAI's Sora (which is being retired in this month's corpus).","[{""id"": ""2099211591644565911"", ""day"": ""2026-09-13"", ""likes"": 138854, ""excerpt"": ""It’s officially happening 🗝️ Sora is coming to Fortnite this week! https://t.co/58Cx7Le6dW""}, {""id"": ""2099861122233102418"", ""day"": ""2026-09-15"", ""likes"": 52989, ""excerpt"": ""You thought Sora wouldn’t bring his friends? https://t.co/8jhadkNBPO""}, {""id"": ""2099362584457863559"", ""day"": ""2026-09-14"", ""likes"": 42499, ""excerpt"": ""Okay a lot of people don't understand so just as a quick course\n\n- The Mickey Mouse symbol on the keyblade belongs SPECIFICALLY to the Keyblade that ONLY Sora (""}]"
GPT-5,product,seeded,\bgpt[- ]?5(?:\.[0-9])?\b,False,7115,4414,745868,208461582,0.582,0.3876,1.0,2026-09-03,16.5379,3.42,use,"7,115 originals, 40/40; catches GPT-5.5/5.6 variants.","[{""id"": ""2099954190600876533"", ""day"": ""2026-09-15"", ""likes"": 30371, ""excerpt"": ""On October 14, it's time to say farewell to GPT-5.5 in ChatGPT, ChatGPT Work, and Codex across all plans.\n\nIf you use GPT-5.5 in Codex, switch to GPT-5.6 Sol or""}, {""id"": ""2096688770523467947"", ""day"": ""2026-09-06"", ""likes"": 22773, ""excerpt"": ""To calibrate you all on which reasoning effort to use for Astra, know that GPT-6 Astra on low performs better than GPT-5.6 Sol on high.\n\nIf you were using high ""}, {""id"": ""2098300998968357218"", ""day"": ""2026-09-11"", ""likes"": 15216, ""excerpt"": ""Next week we’ll be retiring GPT-5.3-Codex-Spark. Can you believe we shipped a model named as such!!\n\nIt's had a good run and was a lot of fun, but usage has bee""}]"
Suno,company,seeded,\bsuno\b,False,6999,3093,174394,19252169,0.2696,0.2519,0.94,2026-09-12,11.8038,2.49,use,"6,999 originals, 37/40 sampled are the AI music tool.","[{""id"": ""2097233560826683459"", ""day"": ""2026-09-08"", ""likes"": 27056, ""excerpt"": ""INMU KINGは動画部分で大体4万円くらい（Sunoとかも含めたら5万弱？）かかってます""}, {""id"": ""2091756793017872401"", ""day"": ""2026-08-24"", ""likes"": 5885, ""excerpt"": ""Suno na. \nThey brought Smriti Irani back and now people are playing her videos whr she said sugar is gonna be 14rupees if bjp comes to power 😭😭😭 \nComment sectio""}, {""id"": ""2099056251208622503"", ""day"": ""2026-09-13"", ""likes"": 4366, ""excerpt"": ""I wrote this Rap on our beloved Senani @PawanKalyan \n\nI composed the music using Suno app, and after a 40+ iterations, I’ve finally achieved this output!!\n\nHope""}]"
Copilot,product,seeded,\bcopilot\b,False,6871,4322,228076,58893916,0.4138,0.3362,0.95,2026-09-10,8.6589,1.72,use,"6,871 originals, 37/40 sampled are Microsoft/GitHub Copilot.","[{""id"": ""2098809953439904220"", ""day"": ""2026-09-12"", ""likes"": 28706, ""excerpt"": ""Grok available in Microsoft Copilot""}, {""id"": ""2092515082555326643"", ""day"": ""2026-08-26"", ""likes"": 8843, ""excerpt"": ""Copilot優秀なのにうちの部署の人たち誰も使ってなくて腹立つから復職したらこれやらせよ。""}, {""id"": ""2089403854425055320"", ""day"": ""2026-08-17"", ""likes"": 8546, ""excerpt"": ""Copilot down so I have to fire up the ol noggin to do work https://t.co/T3JMKIi1Nv""}]"
MiniMax,company,seeded,\bminimax\b,False,6822,2891,499546,100268387,0.4571,0.2323,0.98,2026-09-02,10.7272,2.5,use,"6,822 originals, 39/40 sampled are the lab (H3 video model).","[{""id"": ""2093628563693944889"", ""day"": ""2026-08-29"", ""likes"": 15299, ""excerpt"": ""Today is a very historical moment for AI video generation\n\nYou can now generate AI video faster than you can watch it\n\nBefore it'd take let's say 2-5 minutes to""}, {""id"": ""2093528415576211819"", ""day"": ""2026-08-29"", ""likes"": 13457, ""excerpt"": ""Minimax H3 Max has generates video faster than you can watch it so I hooked it to a twitch livestream! Now you can watch infinite interdimensional cable - link ""}, {""id"": ""2098109777536807173"", ""day"": ""2026-09-10"", ""likes"": 10563, ""excerpt"": ""I just went through Anthropic’s threat report & woah! \n\nThis is genuinely the craziest article I’ve read all month.\n\nThey documented hackers, governments, scamm""}]"
Whisper,product,seeded,\bwhisper\b,False,6731,5678,638951,38851220,0.8667,0.0223,0.1,2026-09-02,9.1948,2.14,drop,"6,731 originals, 3/40 sampled are OpenAI Whisper.","[{""id"": ""2091727140047950024"", ""day"": ""2026-08-24"", ""likes"": 34752, ""excerpt"": ""a small chuckle leaves me mouth. \""me and who\"" i whisper, staring at my phone in a dimly lit room. no one responds besides the soft hum of the air conditioner.""}, {""id"": ""2099161790584066394"", ""day"": ""2026-09-13"", ""likes"": 29629, ""excerpt"": ""i need to be woken up in the middle of the night getting fucked while you just whisper how sorry you are and how you just couldn't help it""}, {""id"": ""2089856244869713961"", ""day"": ""2026-08-18"", ""likes"": 19753, ""excerpt"": ""remember when gyuhan gave us THAT whisper game… they were so in sync https://t.co/uc97bdkATX""}]"
Siri,product,seeded,\bsiri\b,False,6364,5319,670907,45467334,0.4744,0.1348,0.72,2026-09-09,20.3589,4.69,use_with_context,"6,364 originals, 27/40 sampled are the assistant (much of it the 'hey Siri play X' meme).","[{""id"": ""2095284450502254888"", ""day"": ""2026-09-02"", ""likes"": 113283, ""excerpt"": ""Good suggestion Siri! I’ll get on that! https://t.co/PcWRpaw2Da""}, {""id"": ""2092441234581160251"", ""day"": ""2026-08-26"", ""likes"": 54946, ""excerpt"": ""At his press conference today, Pennsylvania Governor Josh Shapiro accused me of promoting conspiracy theories because I told him, during an earlier telephone co""}, {""id"": ""2095856944565092748"", ""day"": ""2026-09-04"", ""likes"": 25733, ""excerpt"": ""me acabo com o fã chamando ela de siri cascudo https://t.co/6UXQ8vGrXy""}]"
Grok Imagine,product,discovered,\bgrok[- ]?imagine\b,False,5976,2126,221537,87650125,0.7421,0.1135,0.98,2026-09-14,5.6299,1.49,use,"DISCOVERED. 5,976 originals, 39/40 sampled.","[{""id"": ""2089500595224777127"", ""day"": ""2026-08-17"", ""likes"": 9897, ""excerpt"": ""Create with Grok Imagine""}, {""id"": ""2089994188033306741"", ""day"": ""2026-08-19"", ""likes"": 8712, ""excerpt"": ""Odyssey bloopers by Grok Imagine""}, {""id"": ""2089443401695470006"", ""day"": ""2026-08-17"", ""likes"": 7617, ""excerpt"": ""Homer had a lyre. You have Grok Imagine.\n\nCreate a compelling scene from Homer’s The Odyssey that shows what Grok @Imagine’s video and voice capabilities can do""}]"
chatbot,concept,seeded,\bchat ?bots?\b,False,5783,4753,373860,35982837,0.8492,0.5959,1.0,2026-09-10,10.1518,2.33,use,"5,783 originals, 40/40 sampled.","[{""id"": ""2094050793263341788"", ""day"": ""2026-08-30"", ""likes"": 29548, ""excerpt"": ""NO YOUTUBE NO VOY A CREARME UNA CUENTA EN UNA PAGINA CHAT BOT DE ROL EROTICO DEJA DE PONERME ESE ANUNCIO EN LA CARA ME CAGO EN DIOS https://t.co/ddBdttajrp""}, {""id"": ""2089784686537269254"", ""day"": ""2026-08-18"", ""likes"": 19116, ""excerpt"": ""props to this Amex cardholder who grilled American Express AI customer support chatbot (that said it was human) until it cracked and went full AI chatbot https:""}, {""id"": ""2092901873996955959"", ""day"": ""2026-08-27"", ""likes"": 18673, ""excerpt"": ""NEW: Israel funded a fake US think tank called the \""Hanover Institute\"" that published 124 reports totaling over 560,000 words in nine days, designed to be cited""}]"
physical AI,concept,discovered,\bphysical ai\b,False,5187,2932,241701,33402599,0.872,0.9626,0.99,2026-09-02,10.7272,3.09,use,"DISCOVERED. 5,187 originals at 96% ai_context_share - the robotics wing of the AI conversation.","[{""id"": ""2092931447644442635"", ""day"": ""2026-08-27"", ""likes"": 11992, ""excerpt"": ""BIG ANNOUNCEMENT FROM HUGGING FACE TODAY: \n\nWe're unveiling Microduck 🐥🤖 \n\nIt's a tiny $399 open-source robot you can teach new tricks with reinforcement learni""}, {""id"": ""2092253876137205982"", ""day"": ""2026-08-25"", ""likes"": 7009, ""excerpt"": ""The wait is over! Meet Arduino VENTUNO Q, where AI takes action. \n\n💬 Run local LLMs like Qwen 3, Gemma 4, and Qwen 3 VLM directly on the board\n🧠 NPU + CPU + GPU""}, {""id"": ""2098755584568828177"", ""day"": ""2026-09-12"", ""likes"": 5502, ""excerpt"": ""The only businesses left to build:\n\n1. AI native service firms\n2. Offline businesses\n3. Distribution (media, community, audience)\n4. Proprietary datasets\n5. Dom""}]"
Devin,product,seeded,\bdevin\b,False,4892,3291,555946,76461658,0.8377,0.0487,0.12,2026-09-13,11.4504,2.97,drop,"4,892 originals, 3/40 sampled are the coding agent.","[{""id"": ""2099006754776330514"", ""day"": ""2026-09-13"", ""likes"": 34005, ""excerpt"": ""Ryan Garcia has fought Tank Davis, Devin Haney, Rolly Romero, Conor Benn, Mario Barrios and he’s about to fight Teofimo Lopez. He ducks no smoke and always down""}, {""id"": ""2091672201183256979"", ""day"": ""2026-08-23"", ""likes"": 13779, ""excerpt"": ""Tank Davis Reacts to News of Devin Haney’s mother recently passing… https://t.co/tQL0Tz4s81""}, {""id"": ""2099200064598196459"", ""day"": ""2026-09-13"", ""likes"": 12385, ""excerpt"": ""At welterweight… \n\nRyan Garcia is WBC champion.\n\nDevin Haney is the WBO champion.  \n\nThese men have met in the ring, but the fight result was tainted by a Ryan ""}]"
